id,category,mode,recall@10,mrr,ndcg@10,latency_ms,n_primaries
RQ-001,simple_penalty,hybrid,0.0,0.0,0.0,9902.8,10
RQ-002,simple_penalty,hybrid,1.0,0.16666666666666666,0.3562071871080222,165.4,10
RQ-003,simple_penalty,hybrid,0.0,0.0,0.0,160.2,10
RQ-004,simple_penalty,hybrid,1.0,0.125,0.31546487678572877,165.3,10
RQ-005,simple_penalty,hybrid,1.0,1.0,1.0437713091520255,179.1,10
RQ-006,multi_intent,hybrid,0.0,0.0,0.0,172.5,10
RQ-007,multi_intent,hybrid,0.5,1.0,0.8772153153380493,158.9,10
RQ-008,multi_intent,hybrid,0.0,0.0,0.0,170.3,10
RQ-009,multi_intent,hybrid,1.0,1.0,1.0,494.8,10
RQ-010,multi_intent,hybrid,0.0,0.0,0.0,155.3,10
RQ-011,cross_reference,hybrid,0.0,0.0,0.0,164.0,10
RQ-012,cross_reference,hybrid,0.0,0.0,0.0,162.8,10
RQ-013,cross_reference,hybrid,1.0,0.14285714285714285,0.3333333333333333,151.5,10
RQ-014,cross_reference,hybrid,0.0,0.0,0.0,146.3,10
RQ-015,cross_reference,hybrid,1.0,0.3333333333333333,0.5,682.6,10
RQ-016,procedure,hybrid,0.0,0.0,0.0,139.0,10
RQ-017,procedure,hybrid,1.0,0.25,0.43067655807339306,625.8,10
RQ-018,procedure,hybrid,0.0,0.0,0.0,176.2,10
RQ-019,procedure,hybrid,1.0,1.0,1.0,154.9,10
RQ-020,procedure,hybrid,0.0,0.0,0.0,159.4,10
RQ-021,out_of_scope,hybrid,1.0,0.0,0.0,222.0,10
RQ-022,out_of_scope,hybrid,1.0,0.0,0.0,190.4,10
RQ-023,out_of_scope,hybrid,1.0,0.0,0.0,184.2,10
RQ-024,out_of_scope,hybrid,1.0,0.0,0.0,157.3,10
RQ-025,out_of_scope,hybrid,1.0,0.0,0.0,165.4,10
RQ-001,simple_penalty,hybrid+rerank,0.0,0.0,0.0,72016.8,10
RQ-002,simple_penalty,hybrid+rerank,1.0,0.25,0.43067655807339306,56416.4,10
RQ-003,simple_penalty,hybrid+rerank,0.0,0.0,0.0,55171.6,10
RQ-004,simple_penalty,hybrid+rerank,0.0,0.0,0.0,49770.4,10
RQ-005,simple_penalty,hybrid+rerank,1.0,1.0,1.1845756967795682,52764.2,10
RQ-006,multi_intent,hybrid+rerank,0.5,0.1,0.17723928678404774,50217.1,10
RQ-007,multi_intent,hybrid+rerank,0.5,1.0,0.8772153153380493,46698.2,10
RQ-008,multi_intent,hybrid+rerank,0.0,0.0,0.0,48955.3,10
RQ-009,multi_intent,hybrid+rerank,1.0,1.0,1.0,43755.7,10
RQ-010,multi_intent,hybrid+rerank,0.0,0.0,0.0,45406.2,10
RQ-011,cross_reference,hybrid+rerank,0.0,0.0,0.0,32893.9,10
RQ-012,cross_reference,hybrid+rerank,0.0,0.0,0.0,39568.8,10
RQ-013,cross_reference,hybrid+rerank,1.0,1.0,1.0,36906.0,10
RQ-014,cross_reference,hybrid+rerank,0.0,0.0,0.0,46442.6,10
RQ-015,cross_reference,hybrid+rerank,1.0,0.5,0.6309297535714575,46825.4,10
RQ-016,procedure,hybrid+rerank,0.0,0.0,0.0,46535.4,10
RQ-017,procedure,hybrid+rerank,1.0,0.25,0.43067655807339306,44651.6,10
RQ-018,procedure,hybrid+rerank,0.0,0.0,0.0,45383.7,10
RQ-019,procedure,hybrid+rerank,1.0,1.0,1.0,45780.9,10
RQ-020,procedure,hybrid+rerank,0.0,0.0,0.0,45078.6,10
RQ-021,out_of_scope,hybrid+rerank,1.0,0.0,0.0,46570.3,10
RQ-022,out_of_scope,hybrid+rerank,1.0,0.0,0.0,48737.5,10
RQ-023,out_of_scope,hybrid+rerank,1.0,0.0,0.0,46804.8,10
RQ-024,out_of_scope,hybrid+rerank,1.0,0.0,0.0,46616.2,10
RQ-025,out_of_scope,hybrid+rerank,1.0,0.0,0.0,46673.5,10
